EventID,LocationID,NHoles,NClams,NMorts
1119,21200,100,1,1
1138,41400,100,0,0
1139,42600,100,0,0
1139,41400,100,3,3
1139,41300,100,1,1
1140,31005,50,0,0
1140,32009,100,6,6
1141,21200,100,2,2
1141,21200,100,1,1
1141,22309,100,2,2
1143,21200,100,9,9
1146,21200,100,2,2
1150,22309,100,8,8
1150,21200,100,5,5
1150,22307,100,6,6
1151,21200,100,7,7
1151,22309,100,6,6
1151,22307,100,15,15
1158,21200,100,2,2
1162,21200,100,3,3
1164,21200,100,9,9
1164,21200,100,18,18
1166,21200,100,4,4
1172,41200,100,0,0
1172,41400,100,4,4
1172,42500,100,1,1
1173,31005,100,3,3
1174,33012,100,2,2
1177,21200,100,3,3
1177,22307,100,1,1
1178,12600,100,9,9
1178,12500,100,5,5
1179,12400,100,3,3
1186,21200,100,13,13
1190,21200,100,6,6
1190,21200,100,5,5
1190,22309,100,0,0
1195,31005,100,2,2
1196,33013,100,0,0
1196,32009,100,5,5
1196,31005,100,6,6
1198,41300,100,1,1
1202,21200,100,10,10
1202,22307,100,1,1
1203,22307,100,1,1
1203,22309,100,0,0
1204,21200,100,2,2
1207,12400,100,2,2
1207,12500,100,6,5
1207,12600,100,6,6
1208,12600,100,4,4
1210,12600,100,2,2
1216,41400,100,6,6
1216,41300,100,1,0
1272,31005,100,2,2
1272,32007,100,1,1
1272,33012,100,3,2
1287,42600,100,2,2
1287,41400,100,4,4
1288,41300,100,2,2
1288,41400,100,4,4
1288,42500,100,2,2
1288,42600,100,1,1
1290,31005,100,14,14
1290,32007,100,0,0
1290,31002,100,1,1
1291,33012,100,2,2
1291,32009,100,6,5
1295,12600,100,2,2
1296,12600,50,4,4
1296,12500,50,1,1
1296,12400,50,0,0
1297,12400,50,0,0
1297,12500,50,2,2
1299,12600,50,2,2
1299,12500,50,2,2
1305,41400,100,2,2
1309,31005,100,1,1
1309,33012,100,3,3
1311,42500,100,3,3
1314,41400,100,3,3
1314,42600,100,2,2
1314,42500,100,4,4
1315,42600,110,2,2
1315,41300,100,2,2
1317,42500,100,0,0
1321,41400,100,4,4
1324,33012,100,5,5
1325,42600,100,1,1
1325,42500,100,8,8
2,41300,100,4,4
1325,41300,100,5,5
1285,11104,100,1,1
1372,41400,100,0,0
1391,21200,100,2,2
1392,21200,100,6,6
1386,32009,93,1,1
1388,42600,100,4,4
1408,21200,100,5,5
1413,32009,100,5,5
1424,31005,100,3,3
1426,21200,100,3,3
1428,21200,100,2,2
1434,41400,100,5,5
1434,42600,100,2,2
1435,33012,100,6,6
1435,32009,100,13,13
1436,41300,100,4,4
1436,41400,100,2,2
1437,31005,100,3,3
1439,12500,100,3,3
1442,21200,100,5,5
1442,22309,100,2,2
1443,22309,100,2,2
1444,22307,100,2,2
1444,21200,100,11,11
1475,42600,100,8,8
1475,41300,100,6,6
1507,31005,0,0,0
1509,42600,100,4,4
1509,41300,100,7,7
1512,41100,100,1,1
1514,21200,100,2,2
1515,21200,100,2,2
1595,31005,100,0,0
1595,33012,100,9,9
1596,42600,100,4,4
1596,41400,100,6,6
1600,21200,100,5,5
1604,42600,100,2,2
1611,32009,100,8,8
1611,33012,100,5,5
1610,12400,100,5,5
1613,42600,100,13,13
1617,41100,100,6,6
1618,41100,100,6,6
1619,42600,100,6,6
1619,41400,100,4,4
1621,12400,100,7,7
1621,11200,25,2,2
1621,11200,25,0,0
1621,11200,25,2,2
1621,11200,25,3,3
1622,12400,100,8,8
1622,12500,100,1,1
1623,21200,100,1,1
1623,22309,100,8,8
1624,32007,100,4,4
1625,42600,100,4,4
1625,41300,50,0,0
1625,41400,100,3,3
1722,12600,50,6,6
1746,12400,100,6,6
1746,12500,50,8,8
1746,12600,50,5,5
1743,12400,50,7,7
1743,12500,50,3,3
1743,12600,50,4,4
1742,11200,50,2,2
1742,11200,100,7,7
1742,11104,150,12,12
1748,41400,100,4,4
1748,41300,100,3,3
1748,42600,100,1,1
1748,42500,100,3,3
1747,22309,50,1,1
1747,22307,50,6,6
1744,22307,100,4,4
1745,33012,100,8,8
1763,41100,100,2,2
1763,41400,100,1,1
1763,42500,50,0,0
1763,42600,100,5,5
1767,42500,100,3,3
1767,41400,100,2,2
1767,41100,100,2,2
1767,41200,100,3,3
1768,42600,100,4,4
1768,42500,100,3,3
1773,32009,100,5,5
1773,33012,100,6,6
1782,12600,50,3,3
1782,12500,50,4,4
1780,21200,100,3,3
1780,22309,100,1,1
1779,42600,100,1,1
1785,12400,50,4,3
1798,21200,100,1,1
1909,31005,100,6,6
1909,32007,100,3,3
1870,11101,100,1,1
1871,41300,100,2,2
1910,12400,50,3,3
1910,12400,50,3,3
1985,33012,50,1,1
1985,33012,50,1,1
1985,32009,50,1,1
1986,22307,100,1,1
1991,21100,100,1,1
1984,22307,100,1,1
1983,12400,100,0,0
1931,12400,100,8,1
2018,31005,100,0,0
1995,33012,100,1,1
2015,32009,100,0,0
2013,12600,50,1,1
1996,12400,50,0,0
2004,41300,100,2,2
1994,22309,100,1,1
2040,32009,50,1,1
2033,12400,50,6,6
2033,12500,50,1,1
2034,22309,100,1,1
2034,22307,100,4,4
2081,41200,100,2,2
2134,41400,100,3,3
2130,41300,100,0,0
2119,41400,50,3,3
2119,41400,100,0,0
2132,32009,100,1,1
2128,32009,100,2,2
2116,32009,100,3,3
2111,33012,100,1,1
2068,31005,100,0,0
2125,12400,100,2,1
2117,12400,100,0,0
2115,22309,100,1,1
2080,22307,100,1,1
2151,22309,100,7,7
2159,12400,100,1,1
2150,12400,100,6,6
2153,32009,50,3,3
2175,22307,50,2,2
2174,41200,100,3,3
2174,41300,100,3,3
2170,42500,100,6,6
2172,31005,100,6,6
2171,12500,100,6,6
2163,11104,100,5,5
2169,12400,50,3,3
2332,12400,100,0,0
2327,12500,50,2,2
2303,12300,100,2,2
2304,12400,100,1,1
2293,12500,100,1,1
2268,12400,50,0,0
2335,22307,100,3,3
2328,21200,50,2,2
2328,22309,50,1,1
2328,22307,50,1,1
2333,22309,100,1,1
2301,22309,50,0,0
2269,22309,50,2,2
2302,33012,100,1,1
2302,32009,100,1,1
2302,32007,100,1,1
2284,33012,100,1,1
1997,41200,100,3,3
2336,31005,100,0,0
2329,31005,100,0,0
2329,32007,100,4,4
2326,31005,100,3,3
2326,31005,100,2,2
2326,32007,100,2,2
2326,33012,100,1,1
2317,33012,100,1,1
2317,32007,100,2,2
2317,31005,100,3,3
2312,31005,100,2,2
2312,32007,100,0,0
2312,32009,100,2,1
2331,42600,100,1,1
2325,42500,100,2,2
2325,41300,100,3,3
2321,42500,100,3,3
2321,41300,100,2,2
2313,41200,50,1,1
2313,41300,50,1,1
2313,41400,50,2,2
2313,42500,50,3,3
2305,41100,100,1,1
2305,41200,100,2,2
2357,32009,100,0,0
2355,31005,100,3,3
2344,32007,100,2,2
2356,22309,50,2,2
2352,42600,100,2,2
2443,22307,50,1,1
2441,22309,50,1,1
2399,21100,100,1,1
2386,22309,100,2,2
2444,32007,100,2,2
2387,32007,100,1,1
2385,12400,50,0,0
2380,12500,100,2,2
2436,12300,50,2,2
2442,41300,100,1,1
2442,41400,100,1,1
2398,42600,100,1,1
2396,42600,100,3,3
2396,41400,100,1,1
2371,41300,75,1,1
2528,12400,50,3,3
2528,12500,50,2,2
2528,12600,50,2,2
2573,42600,100,0,0
2573,41300,100,1,1
2578,32009,50,1,1
2574,11200,50,2,2
2577,12400,100,1,1
2575,12400,100,5,5
2588,22307,100,4,4
2572,22307,100,1,1
2589,32007,50,1,1
2553,12500,50,1,1
2540,12400,100,1,1
2455,12400,50,0,0
2562,41300,100,0,0
2546,42600,100,0,0
2546,42500,100,2,2
2544,41200,100,0,0
2544,41400,100,3,3
2533,42500,100,0,0
2533,41300,100,2,2
2425,41200,100,2,2
2425,41300,100,0,0
2425,41400,100,2,2
2425,42600,100,1,1
2518,41400,100,2,2
2518,41300,100,1,1
2517,42600,100,1,1
2517,41200,100,3,3
2492,41300,100,2,2
2477,41400,50,2,2
2476,42500,100,1,1
2470,42600,100,0,0
2456,42600,100,1,1
2456,41300,100,0,0
2454,42600,100,1,1
2568,33012,100,0,0
2548,32009,100,2,2
2548,32009,100,3,3
2547,32009,100,1,1
2547,33012,100,2,2
2539,33012,100,1,1
2539,32009,100,0,0
2529,31005,100,1,1
2529,32007,100,2,2
2522,33012,100,1,1
2514,33012,100,3,3
2473,32009,100,0,0
2471,32009,50,2,2
2471,33012,50,3,3
2457,31005,100,4,4
2457,32007,100,1,1
2571,22307,100,0,0
2571,22309,100,1,1
2551,22309,50,1,1
2545,22307,100,0,0
2545,22309,100,0,0
2537,22309,50,2,2
2519,21200,100,0,0
2519,22309,100,1,1
2516,21100,50,2,2
2469,21200,100,4,4
2469,21100,100,3,3
2453,22309,100,2,2
2453,22307,50,2,2
2774,21200,100,2,2
2770,22309,100,0,0
2766,21200,100,0,0
2761,21200,100,8,8
2761,22307,100,2,2
2753,22307,50,2,2
2753,22309,50,1,1
2747,22309,50,1,1
1997,41300,100,1,1
2740,21100,50,1,1
2727,21100,50,2,2
2727,21200,50,1,1
2709,21200,50,1,1
2707,22309,100,0,0
2694,21100,100,2,2
